Proper Height,Proper Surface,Missing step, ladder spreadbar,        Bent ladder,Secure Extension,Three-point contact,Carrying something while climbing,Proper Footwear,Safe,Severe,Injury
1,1,0,0,1,0,1,0,0,0,1,1
0,1,1,1,0,1,1,0,1,0,1,1
0,0,0,0,1,1,1,0,1,0,0,1
0,0,1,0,1,1,1,0,1,0,0,1
1,0,1,1,0,1,1,1,1,0,1,1
0,0,0,0,0,1,1,0,1,0,1,1
0,1,0,1,0,1,1,1,0,0,1,1
1,1,1,0,0,1,1,1,0,0,0,1
1,1,1,0,0,1,0,1,1,0,1,1
0,0,0,0,1,0,1,0,0,0,1,1
0,0,1,1,1,1,0,1,0,0,1,1
0,0,0,1,1,1,0,0,1,0,1,1
1,1,0,1,0,0,0,1,1,0,1,1
0,0,0,1,0,0,0,0,0,0,0,1
1,1,1,0,0,0,1,0,0,0,1,1
1,1,1,1,0,0,1,0,0,0,0,1
0,0,0,1,1,0,1,0,0,0,0,1
0,1,1,1,1,1,1,1,0,0,0,1
1,1,1,0,0,0,0,1,0,0,0,1
0,1,1,0,1,1,1,1,1,0,0,1
1,0,0,1,0,0,1,0,1,0,1,1
0,1,1,1,1,0,0,1,1,0,0,1
0,1,1,1,0,1,1,1,0,0,0,1
1,0,1,0,0,1,1,1,1,0,1,1
0,1,1,1,1,0,1,1,1,0,1,1
1,0,1,1,1,1,1,1,1,0,1,1
0,1,1,0,0,0,1,1,0,0,1,1
1,1,1,1,1,0,0,0,0,0,1,1
0,1,1,1,1,1,0,1,0,0,1,1
0,1,1,0,0,0,0,0,1,0,1,1
1,0,0,1,0,1,0,1,1,0,1,1
0,1,0,1,1,0,0,0,1,0,1,1
0,1,0,0,0,1,0,0,1,0,1,1
0,0,1,1,1,0,1,1,0,0,0,1
0,1,0,1,0,0,1,1,0,0,1,1
1,0,1,0,1,0,0,0,0,0,0,1
0,0,1,0,0,1,0,0,1,0,0,1
1,0,1,0,0,0,1,1,0,0,0,1
0,0,0,1,1,1,1,0,0,0,0,1
1,1,0,1,1,1,1,0,1,1,0,0
1,1,1,1,0,1,1,1,1,0,1,1
1,1,0,1,1,0,1,1,0,0,1,1
0,0,1,1,1,0,0,1,1,0,1,1
1,0,0,1,0,0,1,1,1,0,0,1
0,0,0,1,1,1,1,1,0,0,0,1
1,1,0,1,1,1,1,1,0,0,0,1
0,1,0,0,1,0,1,1,1,0,0,1
0,0,1,0,0,0,0,1,0,0,0,1
0,0,1,0,1,0,1,0,1,0,0,1
0,1,0,0,0,1,1,1,0,0,0,1
0,1,1,1,0,1,0,0,0,0,0,1
0,0,1,0,0,1,0,0,0,0,1,1
0,0,0,1,0,0,1,1,0,0,1,1
0,0,1,1,1,1,1,0,1,0,1,1
0,0,0,1,0,1,0,0,0,0,1,1
1,1,1,1,1,0,1,1,0,0,0,1
1,0,1,1,0,0,1,0,1,0,0,1
1,1,1,0,1,1,0,0,1,0,1,1
1,1,0,0,1,0,0,0,0,0,1,1
0,0,0,0,0,0,1,0,0,0,1,1
1,1,1,1,1,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,1,0,1,1
0,0,0,1,0,1,1,1,1,0,1,1
0,1,1,1,0,1,0,0,1,0,1,1
0,0,0,0,0,0,0,1,0,0,1,1
0,0,1,1,0,0,0,1,0,0,0,1
1,0,1,0,1,0,0,0,1,0,0,1
0,1,1,1,0,0,0,1,0,0,0,1
1,1,1,1,0,0,0,0,1,0,0,1
1,1,0,0,1,1,0,0,0,0,0,1
1,0,1,1,1,1,0,1,0,0,0,1
1,0,1,1,1,0,1,0,1,0,1,1
1,1,0,0,1,1,0,1,0,0,1,1
1,0,0,1,1,1,1,1,1,0,1,1
0,0,0,0,1,0,1,0,1,0,1,1
1,1,0,1,0,1,1,0,0,0,1,1
1,1,1,0,1,1,1,1,0,0,1,1
1,0,1,1,0,1,1,0,0,0,1,1
0,1,0,1,0,1,0,0,1,0,0,1
0,1,1,0,0,1,0,1,0,0,0,1
1,1,1,0,1,1,1,1,1,0,0,1
0,0,1,1,0,0,1,0,0,0,0,1
0,0,1,0,0,0,1,1,1,0,0,1
1,1,0,1,1,1,0,0,0,0,0,1
1,0,0,0,1,0,1,1,1,0,1,1
1,0,1,1,0,0,1,1,0,0,0,1
0,0,0,1,1,0,0,0,1,0,0,1
1,1,0,0,1,0,1,0,1,0,1,1
1,0,1,1,1,1,1,1,0,0,1,1
1,1,0,1,1,0,0,1,1,0,0,1
0,0,0,0,1,0,0,1,0,0,0,1
1,1,1,0,0,1,0,0,0,0,0,1
0,1,0,1,0,1,0,1,0,0,0,1
1,0,1,0,1,1,1,0,1,0,0,1
1,1,0,0,0,0,1,0,0,0,0,1
0,0,1,0,1,1,1,0,0,0,1,1
0,0,0,0,0,0,1,1,0,0,1,1
0,1,0,1,0,1,0,0,0,0,1,1
1,0,0,0,0,0,1,0,1,0,1,1
1,0,1,1,0,0,1,0,0,0,1,1
0,0,0,1,0,1,1,0,0,0,1,1
1,0,0,0,1,1,1,1,0,0,1,1
1,1,0,1,0,0,1,0,1,0,0,1
1,1,0,0,0,1,0,1,0,0,0,1
1,1,1,0,0,0,0,0,0,0,0,1
1,0,1,1,1,0,0,0,1,0,0,1
1,0,0,1,0,1,0,1,0,0,0,1
1,0,0,0,1,0,0,1,0,0,0,1
0,0,0,1,1,1,0,1,0,0,1,1
0,0,0,0,1,1,1,1,1,0,1,1
0,1,0,0,0,1,0,1,0,0,1,1
0,0,0,0,0,1,0,1,0,0,1,1
0,0,1,0,1,0,1,1,1,0,1,1
0,0,0,1,1,0,1,1,0,0,1,1
1,1,1,0,1,0,0,0,0,0,0,1
0,1,0,0,1,1,0,0,0,0,1,1
1,0,0,0,0,1,0,1,0,0,1,1
0,1,1,0,0,0,0,1,0,0,1,1
0,1,1,1,0,1,0,1,1,0,1,1
0,1,1,0,0,1,1,0,1,0,1,1
0,1,0,0,1,0,0,1,1,0,1,1
1,0,0,1,1,1,0,0,1,0,1,1
1,1,0,1,0,0,0,0,1,0,0,1
1,0,0,1,1,1,0,1,1,0,0,1
1,1,0,1,1,0,0,0,1,0,0,1
1,1,0,1,0,1,1,1,1,0,0,1
0,1,0,1,1,1,1,0,0,0,1,1
1,0,0,0,0,1,0,0,1,0,1,1
1,0,1,0,0,1,0,1,1,0,1,1
1,1,1,1,0,0,0,1,0,0,0,1
1,1,0,1,0,1,0,1,0,0,0,1
1,1,0,1,1,1,1,1,1,1,0,0
0,1,0,1,1,1,0,1,0,0,0,1
1,0,0,0,0,1,0,0,0,0,1,1
0,1,1,1,0,0,0,1,1,0,1,1
1,0,0,1,1,0,0,0,1,0,1,1
0,0,0,1,1,0,0,0,0,0,1,1
0,0,1,0,0,1,1,1,1,0,1,1
0,0,0,1,0,0,1,0,1,0,1,1
0,0,0,0,0,0,1,1,1,0,1,1
1,0,1,1,1,1,1,0,1,0,1,1
0,1,0,1,1,1,0,0,1,0,1,1
1,1,1,0,1,0,1,1,1,0,0,1
1,1,0,1,0,1,0,0,1,0,0,1
0,0,1,0,0,0,0,0,1,0,1,1
0,1,1,0,1,1,1,1,0,0,1,1
1,0,1,1,0,0,0,0,1,0,1,1
1,0,1,1,1,1,0,0,0,0,1,1
0,0,0,1,0,1,0,0,1,0,1,1
0,0,1,1,1,1,1,1,0,0,1,1
1,0,1,0,0,0,1,0,0,0,1,1
0,0,0,1,1,0,0,1,1,0,1,1
1,1,0,0,0,0,0,0,1,0,0,1
0,1,1,0,0,1,0,1,1,0,0,1
0,1,1,1,1,0,0,0,1,0,0,1
0,1,0,0,1,1,0,0,1,0,0,1
0,1,0,1,1,0,1,1,1,0,0,1
1,0,1,0,1,0,0,1,0,0,0,1
1,1,0,1,0,0,1,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,1,1
0,0,1,1,0,0,1,0,1,0,1,1
0,0,0,0,0,1,1,0,0,0,1,1
1,0,1,1,0,0,0,1,0,0,0,1
0,0,1,0,1,1,0,1,1,0,0,1
1,1,0,1,0,0,1,1,1,0,0,1
1,0,1,0,0,1,0,0,0,0,0,1
1,0,1,1,0,1,0,1,1,0,0,1
1,1,1,0,0,1,1,0,1,0,0,1
1,1,0,0,0,0,0,0,0,0,0,1
0,1,0,0,1,0,1,1,0,0,1,1
0,0,0,1,1,1,1,0,1,0,1,1
1,1,1,1,0,1,1,0,1,0,1,1
0,1,0,0,1,0,0,0,1,0,0,1
1,1,1,1,0,0,1,0,1,0,0,1
1,0,0,0,0,0,1,0,0,0,1,1
1,0,0,0,1,1,0,0,1,0,1,1
0,0,1,1,0,1,0,0,1,0,1,1
1,1,1,1,0,1,0,0,0,0,1,1
0,1,1,1,1,1,0,0,1,0,1,1
1,1,0,0,0,0,0,1,0,0,0,1
0,1,0,1,0,1,1,1,1,0,0,1
1,1,0,1,1,1,1,0,0,1,0,0
1,0,1,1,0,0,0,1,1,0,1,1
0,0,0,1,0,1,0,1,1,0,1,1
1,1,1,0,1,0,1,1,0,0,0,1
0,0,1,0,1,0,0,0,0,0,1,1
0,1,1,1,0,1,0,1,0,0,1,1
0,1,0,0,0,1,1,0,0,0,1,1
0,1,0,0,1,0,0,0,0,0,1,1
1,1,1,0,1,0,0,1,0,0,0,1
1,1,0,0,1,1,1,0,1,0,0,1
0,1,1,1,0,1,1,0,0,0,0,1
0,1,1,0,1,0,1,1,1,0,1,1
1,0,0,0,1,0,1,0,1,0,1,1
1,0,0,1,0,1,0,0,1,0,1,1
1,0,1,0,1,0,1,0,0,0,1,1
1,1,0,1,0,1,1,1,0,0,0,1
0,1,1,1,1,1,1,0,0,0,1,1
0,0,0,0,1,0,0,0,1,0,1,1
1,0,0,1,0,1,1,0,1,0,0,1
0,0,0,0,1,1,0,1,0,0,1,1
1,1,1,0,1,1,0,0,0,0,0,1
0,1,0,1,1,0,0,1,0,0,1,1
0,1,0,0,0,0,1,0,0,0,1,1
1,1,0,0,1,0,1,1,0,0,0,1
1,0,0,0,1,1,0,1,0,0,0,1
1,1,1,1,0,1,1,0,0,0,0,1
0,1,1,0,1,1,0,1,0,0,1,1
0,0,1,0,1,1,0,0,0,0,1,1
0,1,0,1,1,1,1,0,1,0,1,1
0,1,0,0,1,0,1,0,0,0,1,1
0,0,0,1,0,1,0,1,0,0,1,1
1,0,0,1,0,1,0,0,0,0,1,1
1,1,1,0,1,0,0,1,1,0,0,1
1,1,1,1,1,1,1,1,0,1,0,0
0,1,1,1,0,0,1,1,1,0,1,1
0,0,0,0,1,0,0,1,1,0,1,1
1,0,0,0,0,0,1,1,1,0,1,1
0,0,1,0,0,0,1,1,0,0,1,1
0,0,1,0,1,0,1,0,0,0,1,1
0,0,0,1,1,1,0,0,0,0,1,1
1,0,1,1,0,1,0,0,0,0,1,1
0,1,1,0,0,1,1,0,0,0,1,1
0,1,0,0,1,0,0,1,0,0,1,1
1,0,1,1,1,0,0,1,1,0,1,1
0,0,1,0,0,0,1,0,0,0,1,1
0,1,0,0,0,1,0,0,0,0,1,1
0,0,0,1,1,0,1,0,1,0,1,1
1,1,0,0,0,1,0,0,1,0,1,1
0,0,1,1,0,1,1,1,0,0,1,1
1,0,1,0,0,0,0,1,1,0,1,1
1,0,0,0,0,1,0,1,1,0,1,1
1,0,0,0,1,0,1,1,0,0,1,1
0,0,1,1,0,1,1,0,1,0,1,1
0,1,1,0,1,0,1,0,1,0,1,1
1,1,1,1,0,1,1,1,0,0,0,1
1,1,1,1,1,1,1,0,1,0,0,1
1,0,0,1,0,1,1,1,1,0,1,1
1,1,1,1,1,0,0,1,1,0,1,1
0,1,0,0,0,0,0,0,0,0,1,1
1,1,1,0,1,0,1,0,0,0,0,1
0,1,1,1,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1,1
0,0,1,0,0,1,1,1,0,0,0,1
1,1,1,0,1,1,1,0,1,0,0,1
1,0,0,1,0,1,1,1,0,0,0,1
1,1,1,0,0,1,0,1,0,0,0,1
0,0,0,1,1,1,0,1,1,0,1,1
0,0,0,1,0,0,1,1,1,0,1,1
1,1,0,1,0,0,0,0,0,0,0,1
1,0,0,1,0,0,1,1,0,0,1,1
0,0,0,0,1,1,0,0,1,0,1,1
0,1,1,0,0,1,0,0,0,0,1,1
1,1,1,0,1,0,1,0,1,0,0,1
0,0,1,0,0,0,0,1,1,0,1,1
0,0,1,1,1,1,0,0,1,0,1,1
0,0,1,0,1,1,1,1,0,0,1,1
1,0,1,1,1,0,1,1,1,0,1,1
1,1,1,1,0,0,1,1,1,0,0,1
0,1,1,1,0,1,1,1,1,0,1,1
1,1,0,0,1,0,0,0,1,0,1,1
1,0,0,0,1,0,0,0,0,0,1,1
0,1,0,1,0,0,0,1,0,0,1,1
1,0,0,0,1,1,0,1,1,0,1,1
0,1,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,1,1,0,0,0,0,1
0,0,1,0,1,0,0,1,1,0,1,1
1,1,1,1,1,0,0,0,1,0,0,1
1,1,0,0,1,1,0,0,1,0,1,1
0,0,0,1,1,1,1,1,1,0,1,1
0,0,1,1,0,0,0,1,1,0,1,1
1,1,0,1,1,0,0,0,0,0,1,1
1,1,0,1,0,1,0,0,0,0,1,1
0,1,0,0,0,0,1,1,0,0,1,1
0,1,1,0,0,0,0,0,0,0,1,1
1,0,0,1,1,0,1,1,1,0,0,1
1,1,0,0,0,0,0,1,1,0,0,1
1,0,1,1,1,1,0,0,1,0,0,1
1,0,1,0,1,1,1,0,0,0,0,1
1,0,1,1,1,0,1,0,0,0,1,1
0,0,1,1,1,1,0,0,0,0,1,1
1,0,1,0,0,1,1,1,0,0,1,1
0,1,0,1,1,1,0,1,1,0,1,1
1,1,1,0,0,1,0,0,1,0,0,1
0,1,1,0,0,0,1,1,1,0,1,1
0,1,1,1,1,1,0,0,0,0,1,1
0,1,1,0,1,0,0,1,0,0,1,1
0,0,0,1,0,1,1,1,0,0,1,1
1,1,0,0,1,0,0,1,0,0,1,1
0,1,0,0,1,1,0,1,0,0,1,1
0,0,1,1,1,1,1,1,1,0,1,1
1,0,0,1,0,1,1,0,0,0,1,1
1,0,0,1,1,1,0,1,0,0,1,1
1,0,1,1,1,0,0,0,0,0,1,1
1,1,0,1,0,0,1,1,0,0,0,1
0,1,1,1,1,0,0,1,0,0,1,1
0,1,0,1,0,0,0,0,0,0,1,1
0,1,0,0,0,1,0,1,1,0,1,1
1,1,0,0,0,1,0,0,0,0,0,1
0,0,1,1,1,0,0,1,0,0,1,1
0,1,0,1,0,0,0,1,1,0,1,1
1,0,0,1,0,0,0,1,0,0,1,1
1,1,1,1,0,0,0,1,1,0,1,1
0,1,1,0,0,1,1,1,1,0,1,1
0,0,1,0,0,1,0,1,0,0,1,1
0,1,1,1,1,1,0,1,1,0,1,1
0,1,0,1,1,1,1,1,1,0,1,1
1,0,1,0,0,0,0,0,0,0,1,1
0,0,0,0,1,0,1,1,0,0,1,1
0,0,0,0,0,1,0,1,1,0,1,1
0,1,1,1,0,0,1,0,0,0,1,1
0,1,0,1,1,1,1,1,0,0,1,1
1,1,1,1,1,1,1,1,1,0,1,1
1,1,0,0,1,1,1,0,0,0,1,1
0,0,1,0,0,1,0,1,1,0,1,1
0,0,0,1,0,0,0,1,1,0,1,1
0,0,1,0,1,0,0,1,0,0,1,1
1,1,0,0,0,1,1,0,0,0,0,1
1,1,0,0,1,1,1,1,1,0,0,0
0,0,0,0,1,0,1,1,1,0,1,1
1,0,0,0,0,0,0,0,0,0,1,1
1,0,1,0,1,1,0,0,1,0,1,1
0,0,0,1,0,0,1,0,0,0,1,1
0,1,1,0,0,1,0,0,1,0,1,1
0,1,0,1,0,1,1,0,0,0,1,1
0,1,0,1,1,0,1,0,0,0,1,1
0,0,1,1,1,0,1,0,1,0,1,1
0,0,0,1,0,0,0,0,1,0,1,1
1,1,1,0,1,1,0,1,0,0,1,1
1,0,1,1,0,0,0,0,0,0,1,1
1,0,0,1,1,0,1,0,1,0,1,1
1,0,0,1,1,0,0,1,1,0,1,1
0,1,1,1,0,0,0,0,1,0,1,1
0,1,0,0,1,0,1,0,1,0,1,1
0,1,0,1,0,0,0,0,1,0,1,1
1,0,1,0,1,1,0,1,0,0,0,1
1,0,1,1,1,0,0,1,0,0,0,1
1,0,0,0,1,1,1,0,1,0,0,1
0,0,1,0,1,0,0,0,1,0,0,1
1,1,1,0,0,0,0,0,1,0,1,1
1,0,0,1,1,1,1,0,0,0,1,1
1,0,0,1,1,0,0,1,0,0,1,1
1,1,1,1,1,0,0,1,0,0,1,1
0,1,0,0,0,0,0,1,1,0,1,1
0,1,0,0,0,1,1,1,1,0,1,1
0,1,1,0,1,0,0,0,1,0,1,1
1,0,0,1,1,1,1,1,0,0,1,1
1,1,1,1,0,0,0,0,0,0,1,1
1,0,0,1,0,0,0,1,1,0,1,1
1,0,0,0,0,0,0,0,1,0,1,1
1,1,0,0,0,1,1,0,1,0,1,1
1,0,0,0,0,0,0,1,0,0,1,1
0,0,0,1,0,0,0,1,0,0,1,1
0,0,1,1,0,1,0,0,0,0,1,1
0,1,0,1,1,1,0,0,0,0,1,1
0,1,1,1,1,0,1,1,0,0,1,1
1,0,0,0,0,0,0,1,1,0,1,1
0,1,0,1,1,0,1,1,0,0,1,1
1,1,0,0,0,0,1,1,0,0,1,1
1,1,1,0,0,0,0,1,1,0,0,1
0,1,1,0,1,1,1,0,1,0,0,1
1,1,0,1,1,0,1,0,1,1,0,0
0,0,0,0,0,1,1,1,0,0,1,1
1,0,0,0,0,1,1,0,1,0,0,1
1,0,0,1,0,0,1,0,0,0,1,1
0,1,0,1,0,1,1,0,1,0,1,1
1,0,1,0,0,1,1,0,1,0,1,1
1,1,1,0,0,1,1,0,0,0,0,1
1,0,1,0,0,1,1,0,0,0,0,1
0,1,1,0,0,0,0,1,1,0,1,1
1,0,0,1,1,0,1,0,0,0,1,1
1,1,1,1,0,1,0,0,1,0,1,1
0,1,0,1,0,0,1,0,0,0,1,1
0,0,0,1,0,0,1,1,1,0,1,1
1,1,0,1,1,1,0,0,1,1,0,0
1,1,0,0,0,0,1,1,1,0,1,1
1,1,0,0,0,1,1,1,1,0,0,1
1,0,1,1,0,1,1,0,1,0,0,1
0,0,1,1,1,0,1,1,1,0,1,1
1,1,1,0,0,0,1,1,0,0,0,1
1,1,1,0,1,0,0,0,1,0,0,1
0,1,0,0,0,0,0,0,1,0,1,1
1,1,1,1,1,1,0,0,0,0,0,1
0,1,0,0,1,1,1,0,0,0,1,1
1,0,0,0,0,1,1,1,0,0,0,1
0,1,0,0,1,1,1,1,1,0,1,1
1,0,0,1,0,0,0,0,1,0,1,1
0,1,0,1,0,0,1,0,1,0,1,1
0,0,0,0,1,1,1,0,0,0,1,1
1,0,1,1,1,0,1,1,0,0,0,1
1,1,0,0,0,0,1,0,1,0,1,1
1,0,0,1,1,0,0,0,0,0,1,1
0,1,1,0,1,0,0,1,1,0,1,1
1,0,1,1,0,1,0,0,1,0,0,1
1,1,0,0,1,0,1,1,1,0,1,1
1,0,1,0,1,1,1,1,0,0,1,1
1,1,0,1,1,0,1,0,0,0,0,1
0,1,1,0,1,1,0,0,1,0,1,1
0,1,0,0,1,1,1,0,1,0,1,1
0,1,0,1,1,0,0,0,0,0,1,1
1,1,1,1,0,1,0,1,1,0,0,1
0,1,1,1,1,0,1,0,0,0,1,1
0,1,1,1,0,0,1,1,0,0,1,1
0,0,1,1,1,0,0,0,0,0,1,1
0,0,1,0,0,0,1,0,1,0,1,1
1,0,0,0,1,1,1,0,0,0,0,1
1,0,0,0,1,0,0,0,1,0,1,1
0,0,1,1,0,1,1,1,1,0,1,1
1,0,1,1,0,0,1,1,1,0,1,1
1,1,1,1,1,1,0,1,1,0,1,1
0,1,1,0,1,1,0,1,1,0,1,1
1,1,0,0,1,1,1,1,0,0,0,1
1,1,1,1,1,0,1,0,1,0,1,1
1,0,1,0,0,1,0,1,0,0,1,1
1,0,0,0,1,0,1,0,0,0,1,1
1,0,0,1,1,1,1,0,1,0,1,1
0,1,0,0,1,1,1,1,0,0,1,1
1,0,1,0,1,1,0,1,1,0,1,1
0,1,1,1,1,1,1,0,1,0,1,1
0,0,0,0,1,1,0,0,0,0,1,1
1,0,0,0,1,1,0,0,0,0,1,1
0,1,0,0,0,0,1,1,1,0,1,1
1,1,0,1,0,0,0,1,0,0,0,1
1,1,1,0,1,1,0,1,1,0,0,1
1,1,0,1,1,0,0,1,0,0,0,1
1,1,1,1,0,1,0,1,0,0,0,1
1,0,0,1,1,1,0,0,0,0,1,1
1,0,1,0,0,0,0,0,1,0,1,1
1,1,0,1,0,1,0,1,1,0,0,1
1,0,0,1,0,0,0,0,0,0,0,1
0,1,0,0,1,1,0,1,1,0,1,1
1,0,1,0,0,0,1,0,1,0,0,0
1,0,0,1,1,0,1,1,0,0,0,1
1,0,1,0,0,1,0,0,1,0,0,1
1,0,1,1,0,1,1,1,0,0,0,1
0,0,1,1,0,0,0,0,0,0,1,1
1,0,1,1,1,1,0,1,1,0,0,1
0,0,1,0,0,1,1,0,0,0,1,1
0,0,0,0,0,0,1,0,1,0,1,1
0,1,1,1,0,0,0,0,0,0,1,1
1,0,1,0,1,0,1,1,1,0,1,1
0,0,0,1,1,0,1,1,0,0,1,1
0,1,1,0,1,0,0,0,0,0,1,1
1,0,1,0,1,0,0,1,1,0,1,1
1,0,1,1,0,1,0,1,0,0,1,1
0,1,1,1,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,0,0,1,1
1,1,1,0,1,1,1,0,0,0,0,1
1,0,0,0,1,1,1,1,1,0,1,1
1,0,1,0,1,1,1,1,1,0,1,1
0,0,1,1,1,1,0,1,1,0,1,1
0,0,1,1,0,0,1,1,1,0,1,1
0,1,0,0,0,0,1,0,1,0,1,1
0,0,1,1,0,1,0,1,0,0,1,1
1,0,1,0,1,1,0,0,0,0,1,1
0,0,1,1,1,0,0,0,1,0,1,1
1,0,0,0,1,0,0,1,1,0,0,1
1,1,1,0,0,1,1,1,1,0,0,1
